"","P2","P3","P4","P6_9","P8_1","P8_2","P8_3","P8_4","P8_5","P9_2","P9_4","P9_5","P10_1","P10_2","P11_1","P11_2","P11_3","P11_6","P17_4","P17_6","P17_18","P18_2","P18_3","P18_4","P20_1","P20_2","P20_4","P20_5","P20_6","P20_7","P20_10","P34_5","P34_9","P36_2","P36_3","P36_4","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P41_1","P41_2","P41_3","P41_4","P41_5","P41_6","P41_7","P41_8","P45_1","P45_2","P45_3","P46_1","P46_2","P46_3","P46_4","P46_5","P47_1","P47_2","P47_3","P47_4"
"P2",NA,0.023,0.073,0.846,0.805,0.002,0.651,0.031,0.608,0.134,0.471,0.522,0.724,0.05,0.105,0.491,0.702,0.117,0.332,0.208,0.349,0.385,0.869,0.694,0.835,0.767,0.581,0.471,0.526,0.459,0.08,0.35,0.689,0.921,0.72,0.069,0.086,0.306,0.463,0.285,0.715,0.304,0,0.47,0.511,0.463,0.669,0.879,0.531,0.183,0.94,0.064,0.994,0.65,0.613,0.722,0.342,0.214,0.049,0.034,0.037,0.068
"P3",0.023,NA,0.745,0.924,0.986,0.007,0.541,0.968,0.074,1,0.614,0.061,1,0.146,0.054,1,1,0.788,0.529,0.24,0.008,0.03,0.158,0.182,1,0.128,0.968,0.614,0.864,0.715,1,0.242,0.842,0.192,0.9,0.038,0.681,0.616,1,0.011,0.217,0.131,1,0.797,1,0.238,0.938,1,0.075,0.97,0.918,0.575,0.28,0.288,0.262,0.884,0.996,0.14,0.827,0.788,0.766,0.986
"P4",0.073,0.745,NA,0.297,0.314,0.49,0.527,0.151,0.097,0.377,0.546,0.711,0.776,0.519,0.046,0.379,0.291,0.066,0.884,0.002,0,0.164,0.334,0.618,0.574,0.598,0.668,0.546,0.163,0.337,0.276,0.537,0.8,0.183,0.779,0.717,0.762,0.03,0.427,0.152,0.413,0.396,0.637,0.168,0.135,0.98,0.334,0.063,0.727,0.008,0.649,0.164,0.779,0.066,0.338,0.538,0.561,0.838,0.249,0.088,0.204,0.586
"P6_9",0.846,0.924,0.297,NA,0.577,0.659,0.655,0.914,0.888,0.088,0.273,0.469,0.731,0.613,0.564,0.649,0.861,0.344,0,0.001,0.09,0.257,0.764,0.528,0.642,0.365,0.764,0.946,0.402,0.331,0.309,0.002,0.017,0.528,0.651,0.994,0.122,0.469,0.561,0.268,0.047,0.582,0.367,0.351,0.145,0.242,0.65,0.572,0.651,0.158,0.367,0.086,0.831,0.176,0.466,0.546,0.766,0.873,0.221,0.204,0.383,0.16
"P8_1",0.805,0.986,0.314,0.577,NA,1,0.113,0.349,0.581,1,1,0.432,0.735,1,0.568,0.489,0.574,0.928,0.347,0.81,0.554,0.96,1,0.273,1,0.844,1,1,1,0.347,0.083,0.052,0.63,0.846,0.153,0.056,0.391,0.136,0.825,0.96,1,0.817,0.507,1,0.204,0.61,0.696,0.467,0.153,0.347,0.572,0.703,0.202,0.993,0.506,1,0.735,1,0.384,0.239,0.094,0.496
"P8_2",0.002,0.007,0.49,0.659,1,NA,0.07,1,0.577,0.367,1,0.664,1,0.988,0.001,0.881,1,0.738,0.799,0.519,0.797,0.018,0.89,0.738,1,1,1,0.76,0.289,1,0.32,0.697,0.97,0.378,0.004,0.136,0.033,0.478,1,0.284,1,1,0.123,0.503,1,0.246,1,0.478,0.378,0.437,0.816,1,1,1,1,1,0.21,0.055,0.431,0.378,0.29,0.049
"P8_3",0.651,0.541,0.527,0.655,0.113,0.07,NA,0.892,0.875,0.081,0.578,0.451,0.188,1,0.098,0.685,0.779,1,0.38,0.242,0.975,0.802,1,0.546,1,0.209,0.068,0.578,0.965,0.785,0.441,0.268,0.398,0.201,1,0.603,0.563,0.476,1,0.429,0.779,0.415,0.371,0.186,0.317,0.809,1,0.532,0.079,0.596,0.603,0.076,0.201,1,0.965,0.053,0.854,0.25,0.131,0.907,1,1
"P8_4",0.031,0.968,0.151,0.914,0.349,1,0.892,NA,0.328,1,1,0.814,1,1,1,0.935,1,1,0.495,0.946,0.767,0.561,0.94,0.633,0.861,0.667,1,1,0.924,0.479,1,0.075,0.942,0.414,0.222,0.853,0.414,0.924,0.866,0.561,1,1,0.137,1,0.031,0.866,0.096,0.924,0.222,0.309,0.264,0.237,1,1,0.745,0.389,0.497,0.335,0.793,0.795,1,0.867
"P8_5",0.608,0.074,0.097,0.888,0.581,0.577,0.875,0.328,NA,1,0.579,0,1,1,0.818,0.474,0.988,0.694,0.351,0.246,0.398,0.577,0.59,1,0.444,0.447,0.762,1,1,0.748,1,0.151,0.691,0.626,1,1,0.71,0.462,0.883,0.308,1,0.428,1,1,0.271,1,1,0.462,0.228,0.774,1,0.256,0.095,0.038,0.884,0.271,0.121,0.043,0.56,0.071,1,1
"P9_2",0.134,1,0.377,0.088,1,0.367,0.081,1,1,NA,1,0.152,0.86,1,0.766,0.923,1,0.448,0.074,0.451,0.966,0.067,1,0.06,0.895,1,0.989,1,1,0.156,0.367,0.575,0.077,1,0.702,0.418,0.034,0.438,0.62,0.979,1,0.86,0.39,1,1,1,0.813,1,0.702,0.483,0.461,1,0.702,0.812,0.563,0.654,0.86,1,0.966,0.152,0.983,1
"P9_4",0.471,0.614,0.546,0.273,1,1,0.578,1,0.579,1,NA,1,1,1,1,1,0.112,0.669,0.199,0.837,0.202,1,1,0.216,0.29,0.202,1,1,1,0.688,1,0.941,0.989,0.909,0.909,0.139,0.691,1,0.494,1,1,0.823,0.727,0.619,0.936,1,1,1,0.065,1,1,1,1,1,1,0.936,0.041,1,0.882,0.237,0.236,0.134
"P9_5",0.522,0.061,0.711,0.469,0.432,0.664,0.451,0.814,0,0.152,1,NA,0.722,1,0.509,0.01,1,0.037,0.338,0.238,0.497,0.893,0.137,0.99,0.697,1,1,1,0.06,1,0.664,0.902,0.835,0.689,0.689,0.196,0.83,0.756,0.369,0.204,1,0.148,0.967,0.129,0.005,0.369,1,0.756,0.689,0.124,0.077,0.016,0.007,0.002,0.126,0.076,0.011,0.066,0.426,0.163,0.356,0.79
"P10_1",0.724,1,0.776,0.731,0.735,1,0.188,1,1,0.86,1,0.722,NA,0.921,0.202,0.659,1,1,0.536,0.733,0.943,0.553,0.993,0.371,1,0.956,0.693,0.823,0.743,0.369,1,0.342,0.665,0.485,0.923,1,0.28,1,0.73,0.466,0.74,0.419,0.659,0,1,1,1,0.603,1,1,0.311,0.491,0.613,0.899,0.663,1,0.862,0.77,1,0.408,0.011,1
"P10_2",0.05,0.146,0.519,0.613,1,0.988,1,1,1,1,1,1,0.921,NA,0.312,0.347,0.234,0.41,0.372,0.039,0.55,0.988,1,0.552,1,0.526,0.403,1,1,1,1,0.006,0.072,0.228,0.83,0.397,0.974,1,1,1,1,0.162,1,1,1,0.717,1,1,1,1,0.65,1,1,1,0.215,0.802,1,1,1,0.078,0.492,1
"P11_1",0.105,0.054,0.046,0.564,0.568,0.001,0.098,1,0.818,0.766,1,0.509,0.202,0.312,NA,0.716,1,0.315,0.756,0.317,0.914,0,0.928,0.248,1,0.787,0.304,1,0.985,0.979,0.483,0.273,0.731,0.665,0.608,0.181,0.205,0.517,0.343,0.391,1,0.472,0.12,0.926,0.864,0.026,1,0.492,0.168,0.708,0.971,0.271,0.608,1,0.534,0.27,0.781,0.848,0.6,0.147,0.116,0.75
"P11_2",0.491,1,0.379,0.649,0.489,0.881,0.685,0.935,0.474,0.923,1,0.01,0.659,0.347,0.716,NA,0.095,0.039,0.701,0.316,0.928,0.881,1,0.639,1,0.557,0.383,0.116,0.031,0.45,0.662,0.318,0.312,0.821,1,0.441,0.396,0.915,0.668,0.662,1,1,0.928,0.068,0.255,1,0.747,1,0.821,1,0.025,0.502,0.4,0.259,0.076,0.933,0.003,0.279,0.022,0.198,0.421,0.344
"P11_3",0.702,1,0.291,0.861,0.574,1,0.779,1,0.988,1,0.112,1,1,0.234,1,0.095,NA,0.258,0.791,0.61,0.232,0.808,1,0.021,1,0.018,0.005,0.112,0.831,0.319,1,0.019,0.757,0.044,1,0.007,0.394,0.831,0.07,1,1,0.332,1,0.144,0.052,0.07,0.702,0.05,0.044,1,1,0.028,0.649,1,0.108,0.469,0.332,1,0.036,0.078,0.59,0.387
"P11_6",0.117,0.788,0.066,0.344,0.928,0.738,1,1,0.694,0.448,0.669,0.037,1,0.41,0.315,0.039,0.258,NA,0.313,0.09,0.453,0.846,0.804,1,1,1,0.451,0.669,0.094,0.761,0.738,0.464,0.57,0.208,0.852,1,0.116,0.296,1,0.021,0.929,0.77,0.695,0.576,0.057,0.576,0.209,0.753,0.437,0.477,0.865,0.519,0.852,0,0.282,0.638,0.218,0.093,0.158,0.463,0.2,0.458
"P17_4",0.332,0.529,0.884,0,0.347,0.799,0.38,0.495,0.351,0.074,0.199,0.338,0.536,0.372,0.756,0.701,0.791,0.313,NA,0,0.112,0.49,0.509,0.207,0.106,0.716,0.247,0.916,0.675,0.011,0.273,0.002,0.009,0.174,0.288,0.289,0.078,0.831,0.66,0.142,0.594,0.363,0.944,0.447,0.095,0.703,0.763,0.76,0.236,0.086,0.177,0.005,0.081,0.363,0.317,0.997,0.628,0.898,0.435,0.899,0.494,0.423
"P17_6",0.208,0.24,0.002,0.001,0.81,0.519,0.242,0.946,0.246,0.451,0.837,0.238,0.733,0.039,0.317,0.316,0.61,0.09,0,NA,0.019,0.251,0.092,0.385,0.448,0.234,0.563,0.837,0.679,0.003,0.815,0.001,0,0.134,0.509,0.588,0.216,0.901,0.334,0.463,0.743,0.733,0.632,0.585,0.281,0.091,0.868,0.336,0.006,0.21,0.572,0.066,0.144,0.629,0.08,0.321,0.224,0.727,0.159,0.034,0.332,0.491
"P17_18",0.349,0.008,0,0.09,0.554,0.797,0.975,0.767,0.398,0.966,0.202,0.497,0.943,0.55,0.914,0.928,0.232,0.453,0.112,0.019,NA,0.74,0.053,0.428,0.16,0.056,0.05,0.202,0.533,0.828,0.171,0,0.001,0.366,0.198,0.053,0.068,0.261,0.822,0.689,0.608,0.291,0.956,0.183,0.249,0.949,0.462,0.43,0.166,0.452,0.189,0.384,0.96,0.93,0.068,0.787,0.492,0.078,0.592,0.362,0.602,0.21
"P18_2",0.385,0.03,0.164,0.257,0.96,0.018,0.802,0.561,0.577,0.067,1,0.893,0.553,0.988,0,0.881,0.808,0.846,0.49,0.251,0.74,NA,1,0.048,1,1,0.561,1,1,0.806,0.701,0.7,0.536,0.799,0.799,0.733,0.92,0.111,0.592,0.284,1,0.553,0.638,0.503,1,0.755,0.4,0.861,0.378,0.437,0.42,0.607,1,1,0.548,0.33,0.21,0.846,0.058,1,0.929,0.564
"P18_3",0.869,0.158,0.334,0.764,1,0.89,1,0.94,0.59,1,1,0.137,0.993,1,0.928,1,1,0.804,0.509,0.092,0.053,1,NA,0.866,1,1,1,1,0.749,0.229,1,0.17,0.218,0.833,1,0.15,0.001,0.028,0.691,0.89,0.702,0.993,0.735,0.546,0.784,0.691,0.885,1,0.833,0.759,1,1,1,0.018,1,0.784,1,0.045,1,0.422,0.8,0.268
"P18_4",0.694,0.182,0.618,0.528,0.273,0.738,0.546,0.633,1,0.06,0.216,0.99,0.371,0.552,0.248,0.639,0.021,1,0.207,0.385,0.428,0.048,0.866,NA,1,0.115,1,1,0.942,0.019,1,0.204,0.8,0.066,1,0.132,0.272,0.942,1,0.192,1,0.371,0.914,0.29,0.194,0.063,1,0.439,0.181,0.278,1,0.304,1,0.954,0.371,0.033,0.711,0.921,1,0.123,1,0.084
"P20_1",0.835,1,0.574,0.642,1,1,1,0.861,0.444,0.895,0.29,0.697,1,1,1,1,1,1,0.106,0.448,0.16,1,1,1,NA,0.069,1,1,0.83,0.868,0.473,0.217,0.648,0.334,0.005,0.652,0.64,0.83,0.321,0.746,1,0.238,1,1,0.937,0.772,0.967,0.83,1,0.868,0.187,1,0.334,1,0.144,1,0.238,1,1,0.741,0.4,1
"P20_2",0.767,0.128,0.598,0.365,0.844,1,0.209,0.667,0.447,1,0.202,1,0.956,0.526,0.787,0.557,0.018,1,0.716,0.234,0.056,1,1,0.115,0.069,NA,0.643,1,1,0.683,0.807,0.618,0.866,0.34,0.34,0.01,0.543,0.889,0.052,0.16,1,0.126,0.79,1,0.776,0.557,1,0.397,0.34,0.987,0.785,0.984,0.962,0.487,0.13,0.078,0.126,0.491,0.738,0.597,1,0.214
"P20_4",0.581,0.968,0.668,0.764,1,1,0.068,1,0.762,0.989,1,1,0.693,0.403,0.304,0.383,0.005,0.451,0.247,0.563,0.05,0.561,1,1,1,0.643,NA,0,0.005,0.309,1,0.084,0.81,0.84,0.84,0.454,0.206,0.924,0.866,0.097,0.546,1,0.537,1,0.031,1,0.94,0.179,0.84,0.116,1,0.04,1,0.54,0.606,0.887,0.693,1,0.005,0.247,0.246,1
"P20_5",0.471,0.614,0.546,0.946,1,0.76,0.578,1,1,1,1,1,0.823,1,1,0.116,0.112,0.669,0.916,0.837,0.202,1,1,1,1,1,0,NA,0.447,0.287,0.76,0.222,0.549,1,0.909,0.139,0.691,1,1,0.76,1,1,1,0.619,0.074,1,1,0.447,0.909,0.688,0.139,0.244,0.909,1,0.442,0.936,0.823,0.669,0.056,0.759,0.758,1
"P20_6",0.526,0.864,0.163,0.402,1,0.289,0.965,0.924,1,1,1,0.06,0.743,1,0.985,0.031,0.831,0.094,0.675,0.679,0.533,1,0.749,0.942,0.83,1,0.005,0.447,NA,0.666,0.289,0.362,0.843,0.79,0.79,0.621,0.201,0.527,1,0.111,0.831,0.743,0.133,1,0.01,1,0.028,0.527,0.79,1,0.808,0.185,0.589,0.001,0.261,0.851,0.603,0.296,0.161,0.607,0.197,0.828
"P20_7",0.459,0.715,0.337,0.331,0.347,1,0.785,0.479,0.748,0.156,0.688,1,0.369,1,0.979,0.45,0.319,0.761,0.011,0.003,0.828,0.806,0.229,0.019,0.868,0.683,0.309,0.287,0.666,NA,0.775,0.136,0.067,0.081,0.1,0.692,0.237,0.351,1,0.414,0.961,0.369,0.285,0.069,0.291,0.034,0.759,0.265,0.246,0.883,0.401,0.739,0.499,0.856,1,0.125,1,0.358,0.274,0.765,0.461,0.309
